Epoch,Ep_Reward,Ep_Adv_Reward,CM_Reward,CM_Adv_Reward
423.0,0.0,-24.887965059478866,0.0,-25.17707082757176
424.0,0.0,-28.567157813099875,0.0,-25.243815094195796
425.0,0.0,-28.147332456076978,0.0,-25.29233668210734
426.0,0.0,-25.319832317102176,0.0,-25.28359918419275
427.0,0.0,-27.959195391264128,0.0,-25.319885210216576
428.0,0.0,-30.783833031053156,0.0,-25.424633416987707
429.0,0.0,-27.97407814798358,0.0,-25.45086194267994
430.0,0.0,-24.489908048352362,0.0,-25.474328247644664
431.0,0.0,-27.59393900414956,0.0,-25.526725914070475
432.0,0.0,-25.734128050180068,0.0,-25.5616351244522
433.0,0.0,-21.07178477373496,0.0,-25.594650202796576
434.0,0.0,-31.68702296815262,0.0,-25.69287452394591
435.0,0.0,-28.633899083986005,0.0,-25.729605944436333
436.0,0.0,-21.669535054641177,0.0,-25.764921610052994
437.0,0.0,-27.05624361519827,0.0,-25.796324778340285
438.0,0.0,-20.027072046900138,0.0,-25.764803129515123
439.0,0.0,-22.438123234197697,0.0,-25.765589430465198
440.0,0.0,-24.130028642344858,0.0,-25.799146025135016
441.0,0.0,-31.048292768687567,0.0,-25.828150082549055
442.0,0.0,-28.273138029588782,0.0,-25.738730513312575
443.0,0.0,-23.953474646991797,0.0,-25.815554838927316
444.0,0.0,-27.37101878679832,0.0,-25.83859663640982
445.0,0.0,-22.034547584839324,0.0,-25.84143113574706
446.0,0.0,-29.680585243828922,0.0,-25.791921049082074
447.0,0.0,-29.6283018105894,0.0,-25.863026828214707
448.0,0.0,-34.72134835631459,0.0,-26.016711246582435
449.0,0.0,-26.02877858098417,0.0,-26.056321107617674
450.0,0.0,-36.149284497563734,0.0,-26.22382936312483
451.0,0.0,-21.866156880141112,0.0,-26.0199331961682
452.0,0.0,-17.65119571063614,0.0,-25.879869060632554
453.0,0.0,-28.612889073592086,0.0,-25.9324111465906
454.0,0.0,-20.609187568659443,0.0,-25.888905187942623
455.0,0.0,-31.570549721101607,0.0,-25.98816417182138
456.0,0.0,-47.436611538474104,0.0,-26.219438682575092
457.0,0.0,-28.876181167617357,0.0,-26.209732953457028
458.0,0.0,-27.965014641379078,0.0,-26.076556591051077
